Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institution - Persons,Population attending educational institution - Males,Population attending educational institution - Females,Illiterates - Persons,Illiterates - Males,Illiterates - Females,Literates - Persons,Literates - Males,Literates - Females,Educational level - Literate without education level - Persons,Educational level - Literate without education level - Males,Educational level - Literate without education level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Persons,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Males,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females
C3311,00,000,INDIA,Rural,8,20206981,10497018,9709963,17332585,9100396,8232189,876316,438491,437825,16456269,8661905,7794364,142365,79473,62892,16250362,8548344,7702018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,9,17114582,8880402,8234180,15229759,7971103,7258656,461694,225376,236318,14768065,7745727,7022338,117555,65591,51964,13034157,6844809,6189348,1570945,810971,759974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,10,22687766,11899758,10788008,19790440,10495848,9294592,459305,221219,238086,19331135,10274629,9056506,151285,85506,65779,13178515,7036640,6141875,5947185,3123014,2824171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,11,17851313,9319598,8531715,15905405,8392326,7513079,274407,130091,144316,15630998,8262235,7368763,117513,66682,50831,5818378,3127403,2690975,9654956,5046334,4608622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,12,20589319,10781450,9807869,17786279,9461390,8324889,268977,124923,144054,17517302,9336467,8180835,131862,75143,56719,3482591,1879858,1602733,12245152,6499824,5745328,1615181,858340,756841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,13,17490173,9024384,8465789,14960545,7866789,7093756,194565,88812,105753,14765980,7777977,6988003,109310,61635,47675,1437280,771870,665410,8970539,4731432,4239107,4215276,2194927,2020349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,14,18185923,9462968,8722955,14614289,7788058,6826231,180731,82634,98097,14433558,7705424,6728134,108080,61848,46232,758627,407432,351195,5408100,2901646,2506454,8126371,4316760,3809611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,15,18593646,9873668,8719978,13385033,7293403,6091630,169208,78895,90313,13215825,7214508,6001317,102307,59623,42684,447136,245634,201502,2844208,1560732,1283476,6718843,3677800,3041043,3072601,1653395,1419206,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,16,17433799,9253785,8180014,11318505,6225525,5092980,140555,65221,75334,11177950,6160304,5017646,88799,52117,36682,296841,161729,135112,1455514,793282,662232,4168053,2330046,1838007,5142314,2808341,2333973,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,17,14448773,7754277,6694496,8416009,4742848,3673161,101713,47957,53756,8314296,4694891,3619405,70173,42293,27880,179013,97657,81356,664624,365872,298752,1945766,1117735,828031,5434459,3059693,2374766,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,18,19559614,10518623,9040991,8575001,5081842,3493159,120454,57231,63223,8454547,5024611,3429936,85331,52421,32910,183659,106196,77463,584390,337110,247280,1407694,848168,559526,2457600,1513298,944302,3508314,2001553,1506761,23516,17294,6222,181508,134938,46570,0,0,0
C3311,00,000,INDIA,Rural,19,13866640,7170204,6696436,5394208,3226296,2167912,76799,35936,40863,5317409,3190360,2127049,61325,37728,23597,119618,66045,53573,329212,187882,141330,620515,374621,245894,1113232,704787,408445,2858277,1664040,1194237,20459,15391,5068,179412,130568,48844,0,0,0
C3311,00,000,INDIA,Rural,20-24,73835046,38138662,35696384,14699786,9361460,5338326,326718,144060,182658,14373068,9217400,5155668,217206,130896,86310,424463,231977,192486,1142983,648556,494427,1336851,837853,498998,1887832,1261276,626556,5714317,3703348,2010969,56864,44389,12475,501712,375021,126691,3037618,1951187,1086431
C3311,00,000,INDIA,Rural,25-29,66068270,33375989,32692281,2084679,1377451,707228,281184,108831,172353,1803495,1268620,534875,95497,41922,53575,17958,5851,12107,16573,8851,7722,11668,6969,4699,12612,8202,4410,443421,313105,130316,11242,8446,2796,73517,58046,15471,1102737,807543,295194
C3311,00,000,INDIA,Rural,30-34,57911779,28934192,28977587,943274,538149,405125,289467,108022,181445,653807,430127,223680,90884,35868,55016,18227,6036,12191,14239,7588,6651,8728,5141,3587,7410,4704,2706,146828,101092,45736,4919,3379,1540,21080,17009,4071,325310,241485,83825
C3311,00,000,INDIA,Rural,35-59,202225245,102881142,99344103,2647160,1396840,1250320,1393213,552362,840851,1253947,844478,409469,347819,169229,178590,63105,29306,33799,44028,25866,18162,21252,14301,6951,18146,13334,4812,222355,169939,52416,8940,6205,2735,26909,22355,4554,438936,360101,78835
