,State,Gender,Education,Year,Population
140,Jammu & Kashmir,Female,Illiterate,2001,147458.0
141,Jammu & Kashmir,Female,Illiterate,2011,205455.0
142,Jammu & Kashmir,Female,Illiterate,2002,153258.0
143,Jammu & Kashmir,Female,Illiterate,2003,159058.0
144,Jammu & Kashmir,Female,Illiterate,2004,164858.0
145,Jammu & Kashmir,Female,Illiterate,2005,170658.0
146,Jammu & Kashmir,Female,Illiterate,2006,176458.0
147,Jammu & Kashmir,Female,Illiterate,2007,182258.0
148,Jammu & Kashmir,Female,Illiterate,2008,188058.0
149,Jammu & Kashmir,Female,Illiterate,2009,193858.0
150,Jammu & Kashmir,Female,Illiterate,2010,199658.0
151,Jammu & Kashmir,Female,Illiterate,2012,211255.0
152,Jammu & Kashmir,Female,Illiterate,2013,217055.0
153,Jammu & Kashmir,Female,Illiterate,2014,222855.0
154,Jammu & Kashmir,Female,Literate,2001,918517.0
155,Jammu & Kashmir,Female,Literate,2011,1467478.0
156,Jammu & Kashmir,Female,Literate,2002,973414.0
157,Jammu & Kashmir,Female,Literate,2003,1028311.0
158,Jammu & Kashmir,Female,Literate,2004,1083208.0
159,Jammu & Kashmir,Female,Literate,2005,1138105.0
160,Jammu & Kashmir,Female,Literate,2006,1193002.0
161,Jammu & Kashmir,Female,Literate,2007,1247899.0
162,Jammu & Kashmir,Female,Literate,2008,1302796.0
163,Jammu & Kashmir,Female,Literate,2009,1357693.0
164,Jammu & Kashmir,Female,Literate,2010,1412590.0
165,Jammu & Kashmir,Female,Literate,2012,1522375.0
166,Jammu & Kashmir,Female,Literate,2013,1577272.0
167,Jammu & Kashmir,Female,Literate,2014,1632169.0
168,Jammu & Kashmir,Female,Population Attending Educational Institutions,2001,1065975.0
169,Jammu & Kashmir,Female,Population Attending Educational Institutions,2011,1672933.0
170,Jammu & Kashmir,Female,Population Attending Educational Institutions,2002,1126671.0
171,Jammu & Kashmir,Female,Population Attending Educational Institutions,2003,1187367.0
172,Jammu & Kashmir,Female,Population Attending Educational Institutions,2004,1248063.0
173,Jammu & Kashmir,Female,Population Attending Educational Institutions,2005,1308759.0
174,Jammu & Kashmir,Female,Population Attending Educational Institutions,2006,1369455.0
175,Jammu & Kashmir,Female,Population Attending Educational Institutions,2007,1430151.0
176,Jammu & Kashmir,Female,Population Attending Educational Institutions,2008,1490847.0
177,Jammu & Kashmir,Female,Population Attending Educational Institutions,2009,1551543.0
178,Jammu & Kashmir,Female,Population Attending Educational Institutions,2010,1612239.0
179,Jammu & Kashmir,Female,Population Attending Educational Institutions,2012,1733629.0
180,Jammu & Kashmir,Female,Population Attending Educational Institutions,2013,1794325.0
181,Jammu & Kashmir,Female,Population Attending Educational Institutions,2014,1855021.0
182,Jammu & Kashmir,Female,Total Population,2001,4782774.0
183,Jammu & Kashmir,Female,Total Population,2011,5900640.0
184,Jammu & Kashmir,Female,Total Population,2002,4894561.0
185,Jammu & Kashmir,Female,Total Population,2003,5006348.0
186,Jammu & Kashmir,Female,Total Population,2004,5118135.0
187,Jammu & Kashmir,Female,Total Population,2005,5229922.0
188,Jammu & Kashmir,Female,Total Population,2006,5341709.0
189,Jammu & Kashmir,Female,Total Population,2007,5453496.0
190,Jammu & Kashmir,Female,Total Population,2008,5565283.0
191,Jammu & Kashmir,Female,Total Population,2009,5677070.0
192,Jammu & Kashmir,Female,Total Population,2010,5788857.0
193,Jammu & Kashmir,Female,Total Population,2012,6012427.0
194,Jammu & Kashmir,Female,Total Population,2013,6124214.0
195,Jammu & Kashmir,Female,Total Population,2014,6236001.0
196,Jammu & Kashmir,Male,Below Primary,2001,416556.0
197,Jammu & Kashmir,Male,Below Primary,2011,476589.0
198,Jammu & Kashmir,Male,Below Primary,2002,422560.0
199,Jammu & Kashmir,Male,Below Primary,2003,428564.0
200,Jammu & Kashmir,Male,Below Primary,2004,434568.0
201,Jammu & Kashmir,Male,Below Primary,2005,440572.0
202,Jammu & Kashmir,Male,Below Primary,2006,446576.0
203,Jammu & Kashmir,Male,Below Primary,2007,452580.0
204,Jammu & Kashmir,Male,Below Primary,2008,458584.0
205,Jammu & Kashmir,Male,Below Primary,2009,464588.0
206,Jammu & Kashmir,Male,Below Primary,2010,470592.0
207,Jammu & Kashmir,Male,Below Primary,2012,482593.0
208,Jammu & Kashmir,Male,Below Primary,2013,488597.0
209,Jammu & Kashmir,Male,Below Primary,2014,494601.0
210,Jammu & Kashmir,Male,Graduate & Above,2001,30645.0
211,Jammu & Kashmir,Male,Graduate & Above,2011,121202.0
212,Jammu & Kashmir,Male,Graduate & Above,2002,39701.0
213,Jammu & Kashmir,Male,Graduate & Above,2003,48757.0
214,Jammu & Kashmir,Male,Graduate & Above,2004,57813.0
215,Jammu & Kashmir,Male,Graduate & Above,2005,66869.0
216,Jammu & Kashmir,Male,Graduate & Above,2006,75925.0
217,Jammu & Kashmir,Male,Graduate & Above,2007,84981.0
218,Jammu & Kashmir,Male,Graduate & Above,2008,94037.0
219,Jammu & Kashmir,Male,Graduate & Above,2009,103093.0
220,Jammu & Kashmir,Male,Graduate & Above,2010,112149.0
221,Jammu & Kashmir,Male,Graduate & Above,2012,130258.0
222,Jammu & Kashmir,Male,Graduate & Above,2013,139314.0
223,Jammu & Kashmir,Male,Graduate & Above,2014,148370.0
224,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2001,80613.0
225,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2011,176494.0
226,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2002,90202.0
227,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2003,99791.0
228,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2004,109380.0
229,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2005,118969.0
230,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2006,128558.0
231,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2007,138147.0
232,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2008,147736.0
233,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2009,157325.0
234,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2010,166914.0
235,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2012,186083.0
236,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2013,195672.0
237,Jammu & Kashmir,Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2014,205261.0
238,Jammu & Kashmir,Male,Literate Without Educational Level,2001,6543.0
239,Jammu & Kashmir,Male,Literate Without Educational Level,2011,12998.0
240,Jammu & Kashmir,Male,Literate Without Educational Level,2002,7189.0
241,Jammu & Kashmir,Male,Literate Without Educational Level,2003,7835.0
242,Jammu & Kashmir,Male,Literate Without Educational Level,2004,8481.0
243,Jammu & Kashmir,Male,Literate Without Educational Level,2005,9127.0
244,Jammu & Kashmir,Male,Literate Without Educational Level,2006,9773.0
245,Jammu & Kashmir,Male,Literate Without Educational Level,2007,10419.0
246,Jammu & Kashmir,Male,Literate Without Educational Level,2008,11065.0
247,Jammu & Kashmir,Male,Literate Without Educational Level,2009,11711.0
248,Jammu & Kashmir,Male,Literate Without Educational Level,2010,12357.0
249,Jammu & Kashmir,Male,Literate Without Educational Level,2012,13644.0
250,Jammu & Kashmir,Male,Literate Without Educational Level,2013,14290.0
251,Jammu & Kashmir,Male,Literate Without Educational Level,2014,14936.0
252,Jammu & Kashmir,Male,Matric/Secondary,2001,136760.0
253,Jammu & Kashmir,Male,Matric/Secondary,2011,248256.0
254,Jammu & Kashmir,Male,Matric/Secondary,2002,147910.0
255,Jammu & Kashmir,Male,Matric/Secondary,2003,159060.0
256,Jammu & Kashmir,Male,Matric/Secondary,2004,170210.0
257,Jammu & Kashmir,Male,Matric/Secondary,2005,181360.0
258,Jammu & Kashmir,Male,Matric/Secondary,2006,192510.0
259,Jammu & Kashmir,Male,Matric/Secondary,2007,203660.0
260,Jammu & Kashmir,Male,Matric/Secondary,2008,214810.0
261,Jammu & Kashmir,Male,Matric/Secondary,2009,225960.0
262,Jammu & Kashmir,Male,Matric/Secondary,2010,237110.0
263,Jammu & Kashmir,Male,Matric/Secondary,2012,259406.0
264,Jammu & Kashmir,Male,Matric/Secondary,2013,270556.0
265,Jammu & Kashmir,Male,Matric/Secondary,2014,281706.0
266,Jammu & Kashmir,Male,Middle,2001,221811.0
267,Jammu & Kashmir,Male,Middle,2011,322282.0
268,Jammu & Kashmir,Male,Middle,2002,231859.0
269,Jammu & Kashmir,Male,Middle,2003,241907.0
270,Jammu & Kashmir,Male,Middle,2004,251955.0
271,Jammu & Kashmir,Male,Middle,2005,262003.0
272,Jammu & Kashmir,Male,Middle,2006,272051.0
273,Jammu & Kashmir,Male,Middle,2007,282099.0
274,Jammu & Kashmir,Male,Middle,2008,292147.0
275,Jammu & Kashmir,Male,Middle,2009,302195.0
276,Jammu & Kashmir,Male,Middle,2010,312243.0
277,Jammu & Kashmir,Male,Middle,2012,332330.0
278,Jammu & Kashmir,Male,Middle,2013,342378.0
279,Jammu & Kashmir,Male,Middle,2014,352426.0
280,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2001,140.0
281,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2011,1629.0
282,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2002,289.0
283,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2003,438.0
284,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2004,587.0
285,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2005,736.0
286,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2006,885.0
287,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2007,1034.0
288,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2008,1183.0
289,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2009,1332.0
290,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2010,1481.0
291,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2012,1778.0
292,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2013,1927.0
293,Jammu & Kashmir,Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2014,2076.0
294,Jammu & Kashmir,Male,Primary,2001,342464.0
295,Jammu & Kashmir,Male,Primary,2011,422246.0
296,Jammu & Kashmir,Male,Primary,2002,350443.0
297,Jammu & Kashmir,Male,Primary,2003,358422.0
298,Jammu & Kashmir,Male,Primary,2004,366401.0
299,Jammu & Kashmir,Male,Primary,2005,374380.0
300,Jammu & Kashmir,Male,Primary,2006,382359.0
301,Jammu & Kashmir,Male,Primary,2007,390338.0
302,Jammu & Kashmir,Male,Primary,2008,398317.0
303,Jammu & Kashmir,Male,Primary,2009,406296.0
304,Jammu & Kashmir,Male,Primary,2010,414275.0
305,Jammu & Kashmir,Male,Primary,2012,430225.0
306,Jammu & Kashmir,Male,Primary,2013,438204.0
307,Jammu & Kashmir,Male,Primary,2014,446183.0
308,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2001,821.0
309,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2011,11411.0
310,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2002,1880.0
311,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2003,2939.0
312,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2004,3998.0
313,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2005,5057.0
314,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2006,6116.0
315,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2007,7175.0
316,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2008,8234.0
317,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2009,9293.0
318,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2010,10352.0
319,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2012,12470.0
320,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2013,13529.0
321,Jammu & Kashmir,Male,Technical Diploma Or Certificate Not Equal To Degree,2014,14588.0
322,Jammu & Kashmir,Male,Unclassified,2001,122.0
323,Jammu & Kashmir,Male,Unclassified,2011,7364.0
324,Jammu & Kashmir,Male,Unclassified,2002,847.0
325,Jammu & Kashmir,Male,Unclassified,2003,1572.0
326,Jammu & Kashmir,Male,Unclassified,2004,2297.0
327,Jammu & Kashmir,Male,Unclassified,2005,3022.0
328,Jammu & Kashmir,Male,Unclassified,2006,3747.0
329,Jammu & Kashmir,Male,Unclassified,2007,4472.0
330,Jammu & Kashmir,Male,Unclassified,2008,5197.0
331,Jammu & Kashmir,Male,Unclassified,2009,5922.0
332,Jammu & Kashmir,Male,Unclassified,2010,6647.0
333,Jammu & Kashmir,Male,Unclassified,2012,8089.0
334,Jammu & Kashmir,Male,Unclassified,2013,8814.0
335,Jammu & Kashmir,Male,Unclassified,2014,9539.0
336,Jammu & Kashmir,Male,Illiterate,2001,160993.0
337,Jammu & Kashmir,Male,Illiterate,2011,223229.0
338,Jammu & Kashmir,Male,Illiterate,2002,167217.0
339,Jammu & Kashmir,Male,Illiterate,2003,173441.0
340,Jammu & Kashmir,Male,Illiterate,2004,179665.0
341,Jammu & Kashmir,Male,Illiterate,2005,185889.0
342,Jammu & Kashmir,Male,Illiterate,2006,192113.0
343,Jammu & Kashmir,Male,Illiterate,2007,198337.0
344,Jammu & Kashmir,Male,Illiterate,2008,204561.0
345,Jammu & Kashmir,Male,Illiterate,2009,210785.0
346,Jammu & Kashmir,Male,Illiterate,2010,217009.0
347,Jammu & Kashmir,Male,Illiterate,2012,229453.0
348,Jammu & Kashmir,Male,Illiterate,2013,235677.0
349,Jammu & Kashmir,Male,Illiterate,2014,241901.0
350,Jammu & Kashmir,Male,Literate,2001,1236475.0
351,Jammu & Kashmir,Male,Literate,2011,1800471.0
352,Jammu & Kashmir,Male,Literate,2002,1292875.0
353,Jammu & Kashmir,Male,Literate,2003,1349275.0
354,Jammu & Kashmir,Male,Literate,2004,1405675.0
355,Jammu & Kashmir,Male,Literate,2005,1462075.0
356,Jammu & Kashmir,Male,Literate,2006,1518475.0
357,Jammu & Kashmir,Male,Literate,2007,1574875.0
358,Jammu & Kashmir,Male,Literate,2008,1631275.0
359,Jammu & Kashmir,Male,Literate,2009,1687675.0
360,Jammu & Kashmir,Male,Literate,2010,1744075.0
361,Jammu & Kashmir,Male,Literate,2012,1856871.0
362,Jammu & Kashmir,Male,Literate,2013,1913271.0
363,Jammu & Kashmir,Male,Literate,2014,1969671.0
364,Jammu & Kashmir,Male,Population Attending Educational Institutions,2001,1397468.0
365,Jammu & Kashmir,Male,Population Attending Educational Institutions,2011,2023700.0
366,Jammu & Kashmir,Male,Population Attending Educational Institutions,2002,1460092.0
367,Jammu & Kashmir,Male,Population Attending Educational Institutions,2003,1522716.0
368,Jammu & Kashmir,Male,Population Attending Educational Institutions,2004,1585340.0
369,Jammu & Kashmir,Male,Population Attending Educational Institutions,2005,1647964.0
370,Jammu & Kashmir,Male,Population Attending Educational Institutions,2006,1710588.0
371,Jammu & Kashmir,Male,Population Attending Educational Institutions,2007,1773212.0
372,Jammu & Kashmir,Male,Population Attending Educational Institutions,2008,1835836.0
373,Jammu & Kashmir,Male,Population Attending Educational Institutions,2009,1898460.0
374,Jammu & Kashmir,Male,Population Attending Educational Institutions,2010,1961084.0
375,Jammu & Kashmir,Male,Population Attending Educational Institutions,2012,2086324.0
376,Jammu & Kashmir,Male,Population Attending Educational Institutions,2013,2148948.0
377,Jammu & Kashmir,Male,Population Attending Educational Institutions,2014,2211572.0
378,Jammu & Kashmir,Male,Total Population,2001,5360926.0
379,Jammu & Kashmir,Male,Total Population,2011,6640662.0
380,Jammu & Kashmir,Male,Total Population,2002,5488900.0
381,Jammu & Kashmir,Male,Total Population,2003,5616874.0
382,Jammu & Kashmir,Male,Total Population,2004,5744848.0
383,Jammu & Kashmir,Male,Total Population,2005,5872822.0
384,Jammu & Kashmir,Male,Total Population,2006,6000796.0
